月份,开行列数,出口列数,进口列数,运量_箱,货值_美元
2020-01,28,23,5,1451,71466860.0
2020-02,22,18,4,1090,56130029.0
2020-03,25,21,4,1196,63047662.0
2020-04,26,21,5,1329,70181442.0
2020-05,29,24,5,1446,75071486.0
2020-06,26,21,5,1314,68522467.0
2020-07,24,20,4,1240,61045638.0
2020-08,30,25,5,1530,76671285.0
2020-09,27,22,5,1376,68897352.0
2020-10,31,26,5,1539,78957220.0
2020-11,32,27,5,1643,80873360.0
2020-12,29,24,5,1567,75111115.0
2021-01,44,36,8,2188,107964597.0
2021-02,34,28,6,1858,87031261.0
2021-03,47,39,8,2384,122551747.0
2021-04,41,34,7,2008,107271844.0
2021-05,46,38,8,2318,111664251.0
2021-06,42,34,8,2219,104103806.0
2021-07,45,37,8,2232,116082682.0
2021-08,47,40,7,2364,119539818.0
2021-09,50,43,7,2670,132059860.0
2021-10,49,40,9,2428,120773448.0
2021-11,54,44,10,2659,125332580.0
2021-12,43,34,9,2071,108931214.0
2022-01,54,43,11,2787,138922821.0
2022-02,46,38,8,2269,113799160.0
2022-03,59,48,11,3023,152474955.0
2022-04,59,47,12,3013,161211703.0
2022-05,59,50,9,2792,146662043.0
2022-06,60,48,12,3028,155321003.0
2022-07,62,53,9,3195,155993443.0
2022-08,61,50,11,3058,157297846.0
2022-09,64,52,12,3229,166300255.0
2022-10,66,53,13,3415,164042863.0
2022-11,71,58,13,3436,177959460.0
2022-12,61,48,13,3085,155263854.0
2023-01,71,61,10,3499,183436218.0
2023-02,56,45,11,2834,149080679.0
2023-03,77,64,13,3746,196273188.0
2023-04,73,62,11,3664,188980435.0
2023-05,74,57,17,3524,187613357.0
2023-06,76,63,13,3784,196753040.0
2023-07,78,63,15,3939,196923897.0
2023-08,82,66,16,4137,208234823.0
2023-09,81,65,16,3927,213300935.0
2023-10,84,74,10,4313,218541449.0
2023-11,88,72,16,4350,216316462.0
2023-12,80,68,12,4079,194646827.0
2024-01,75,62,13,3709,190551552.0
2024-02,58,50,8,3054,144547158.0
2024-03,85,66,19,4248,218559861.0
2024-04,78,65,13,3855,201269511.0
2024-05,88,69,19,4499,226565185.0
2024-06,88,72,16,4602,225375509.0
2024-07,88,72,16,4213,215012610.0
2024-08,86,72,14,4258,213062678.0
2024-09,92,76,16,4180,236680745.0
2024-10,92,75,17,4591,228548202.0
2024-11,98,80,18,4890,232461830.0
2024-12,89,69,20,4521,234205470.0
2025-01,78,63,15,4014,199820564.0
2025-02,61,48,13,3003,156290635.0
2025-03,86,70,16,4434,218608573.0
2025-04,82,67,15,4283,209965796.0
2025-05,90,73,17,4535,234610686.0
2025-06,88,76,12,4468,217488296.0
2025-07,92,79,13,4726,229200500.0
2025-08,94,76,18,4896,228687134.0
2025-09,93,78,15,5008,242364952.0
2025-10,97,81,16,4749,245444324.0
2025-11,99,83,16,5122,258928217.0
2025-12,86,73,13,4269,220199974.0
