月份,快递业务量_亿件,同城_亿件,异地_亿件,国际港澳台_亿件,业务收入_亿元
2020-01-01,0.5974,0.0882,0.499,0.0102,6.1
2020-02-01,0.4275,0.0632,0.3562,0.0082,4.3
2020-03-01,0.6291,0.0947,0.5231,0.0113,6.39
2020-04-01,0.6336,0.0956,0.5267,0.0113,6.23
2020-05-01,0.6491,0.0973,0.5397,0.0121,6.5
2020-06-01,0.6742,0.1057,0.557,0.0115,6.7
2020-07-01,0.6419,0.0977,0.5322,0.012,6.52
2020-08-01,0.6565,0.0986,0.5459,0.012,6.63
2020-09-01,0.6931,0.1031,0.5773,0.0127,6.97
2020-10-01,0.7432,0.11,0.6198,0.0134,7.38
2020-11-01,0.9387,0.1366,0.7846,0.0175,9.37
2020-12-01,0.807,0.1234,0.6702,0.0134,7.95
2021-01-01,0.79,0.1095,0.6642,0.0163,7.57
2021-02-01,0.5714,0.0781,0.4807,0.0125,5.62
2021-03-01,0.8299,0.1172,0.6967,0.016,7.99
2021-04-01,0.8106,0.1102,0.6833,0.0171,7.92
2021-05-01,0.8652,0.1213,0.7268,0.0171,8.38
2021-06-01,0.9179,0.126,0.7723,0.0196,8.86
2021-07-01,0.8701,0.1227,0.7303,0.0171,8.33
2021-08-01,0.8851,0.1227,0.7436,0.0188,8.56
2021-09-01,0.9314,0.132,0.7803,0.0191,9.09
2021-10-01,0.9578,0.1331,0.8051,0.0195,9.17
2021-11-01,1.2241,0.1672,1.032,0.0248,11.96
2021-12-01,1.108,0.1497,0.9354,0.0229,10.95
2022-01-01,0.9788,0.119,0.8391,0.0207,9.18
2022-02-01,0.7405,0.0927,0.631,0.0167,7.1
2022-03-01,1.0744,0.141,0.9076,0.0258,10.21
2022-04-01,1.0704,0.1419,0.901,0.0274,10.08
2022-05-01,1.1307,0.1425,0.9615,0.0268,10.52
2022-06-01,1.1443,0.1446,0.9707,0.029,10.74
2022-07-01,1.0572,0.1365,0.8961,0.0246,9.97
2022-08-01,1.1077,0.1385,0.9436,0.0256,10.42
2022-09-01,1.1838,0.1501,1.0071,0.0266,11.12
2022-10-01,1.2225,0.1585,1.0359,0.028,11.43
2022-11-01,1.5173,0.1917,1.2909,0.0347,14.19
2022-12-01,1.3788,0.1694,1.179,0.0303,12.98
2023-01-01,1.1853,0.1366,1.0211,0.0275,10.82
2023-02-01,0.9108,0.1034,0.7854,0.022,8.24
2023-03-01,1.3413,0.1529,1.1534,0.035,12.05
2023-04-01,1.3436,0.1642,1.1452,0.0342,12.2
2023-05-01,1.3885,0.1643,1.1894,0.0348,12.62
2023-06-01,1.4097,0.167,1.2073,0.0354,13.01
2023-07-01,1.3481,0.1617,1.1541,0.0323,12.29
2023-08-01,1.4336,0.1686,1.2252,0.0397,12.96
2023-09-01,1.4782,0.1686,1.2717,0.0379,13.06
2023-10-01,1.5128,0.1693,1.3049,0.0386,14.02
2023-11-01,1.9447,0.2242,1.6727,0.0478,17.71
2023-12-01,1.6996,0.1976,1.4546,0.0474,15.26
2024-01-01,1.563,0.1681,1.3481,0.0468,13.71
2024-02-01,1.1997,0.1323,1.0327,0.0347,10.57
2024-03-01,1.7793,0.188,1.5436,0.0476,15.5
2024-04-01,1.7381,0.185,1.5053,0.0478,15.17
2024-05-01,1.8198,0.1934,1.5757,0.0507,16.09
2024-06-01,1.8792,0.191,1.6366,0.0516,16.71
2024-07-01,1.8326,0.1865,1.5958,0.0503,16.3
2024-08-01,1.8533,0.1872,1.6175,0.0487,16.36
2024-09-01,2.0013,0.2219,1.7242,0.0552,17.54
2024-10-01,1.9857,0.2138,1.717,0.0549,17.61
2024-11-01,2.5857,0.2704,2.2476,0.0677,22.91
2024-12-01,2.222,0.2274,1.9307,0.0639,19.07
2025-01-01,2.0865,0.2064,1.8181,0.0621,17.99
2025-02-01,1.5102,0.1413,1.3228,0.0461,12.56
2025-03-01,2.2147,0.2013,1.9466,0.0668,18.77
2025-04-01,2.1345,0.2062,1.8622,0.0661,18.26
2025-05-01,2.2907,0.2224,2.0015,0.0667,19.21
2025-06-01,2.4164,0.2279,2.1172,0.0712,21.0
2025-07-01,2.2827,0.2126,1.9993,0.0708,19.42
2025-08-01,2.2941,0.218,2.008,0.0682,19.46
2025-09-01,2.4569,0.2285,2.1521,0.0763,20.74
2025-10-01,2.5432,0.2459,2.2157,0.0816,21.75
2025-11-01,3.215,0.2967875,2.8024,0.09664999999999999,27.62
2025-12-01,2.8256,0.2639,2.4721,0.0895,24.39
