城市,年份,物流从业人数_万人,物流财政支出_亿元,等级公路里程_万公里,GDP_亿元,进出口总额_亿元
长沙,2020,17.82,39.99,1.884,11805.0,2287.0
长沙,2021,18.92,42.05,1.941,13225.0,2346.0
长沙,2022,19.37,45.04,1.965,14281.0,2574.0
长沙,2023,20.16,47.57,2.006,15166.0,2679.0
长沙,2024,21.09,51.31,2.062,16358.0,2767.0
武汉,2020,24.95,55.75,2.11,15579.0,3780.0
武汉,2021,25.66,57.14,2.132,16656.0,4073.0
武汉,2022,26.38,61.51,2.182,18004.0,4431.0
武汉,2023,26.95,63.87,2.207,19699.0,4806.0
武汉,2024,28.28,66.97,2.284,21116.0,5043.0
南昌,2020,9.86,20.47,1.409,5827.0,1280.0
南昌,2021,10.58,21.62,1.448,6314.0,1303.0
南昌,2022,10.93,23.23,1.481,6712.0,1516.0
南昌,2023,11.42,24.93,1.524,7506.0,1548.0
南昌,2024,12.09,25.98,1.566,8041.0,1740.0
合肥,2020,13.95,34.95,1.692,10057.0,2173.0
合肥,2021,14.61,37.37,1.737,11056.0,2312.0
合肥,2022,15.48,40.96,1.814,12174.0,2608.0
合肥,2023,16.14,44.04,1.854,13300.0,2673.0
合肥,2024,16.84,47.08,1.912,14769.0,3076.0
郑州,2020,19.95,50.58,1.807,11958.0,4750.0
郑州,2021,21.1,52.21,1.833,12885.0,5228.0
郑州,2022,21.36,56.44,1.88,13990.0,5692.0
郑州,2023,22.75,60.61,1.898,14913.0,6384.0
郑州,2024,23.26,63.79,1.952,16136.0,6685.0
贵阳,2020,8.02,14.91,1.199,4289.0,620.0
贵阳,2021,8.46,16.51,1.26,4797.0,697.0
贵阳,2022,8.88,17.68,1.293,5218.0,764.0
贵阳,2023,9.67,19.01,1.355,5740.0,876.0
贵阳,2024,10.0,20.47,1.406,6285.0,911.0
