线路类型,线路名称,起点,终点,起点经度,起点纬度,终点经度,终点纬度,货运量_箱
中欧班列,长沙-莫斯科,长沙,莫斯科,112.986,28.352,37.617,55.755,2574
中欧班列,长沙-明斯克,长沙,明斯克,112.986,28.352,27.562,53.9,2511
中欧班列,长沙-马拉舍维奇(华沙),长沙,马拉舍维奇(华沙),112.986,28.352,23.155,52.223,2990
中欧班列,长沙-汉堡,长沙,汉堡,112.986,28.352,9.994,53.551,2899
中欧班列,长沙-杜伊斯堡,长沙,杜伊斯堡,112.986,28.352,6.773,51.435,2385
中欧班列,长沙-布达佩斯,长沙,布达佩斯,112.986,28.352,19.04,47.498,2822
中欧班列,长沙-塔什干,长沙,塔什干,112.986,28.352,69.24,41.299,1069
中欧班列,长沙-阿拉木图,长沙,阿拉木图,112.986,28.352,76.945,43.238,1068
中欧班列,长沙-德黑兰,长沙,德黑兰,112.986,28.352,51.389,35.689,1705
中欧班列,长沙-河内,长沙,河内,112.986,28.352,105.834,21.028,1940
中欧班列,长沙-万象,长沙,万象,112.986,28.352,102.633,17.976,1512
中欧班列,长沙-乌兰巴托,长沙,乌兰巴托,112.986,28.352,106.905,47.886,1804
国际货运航线,长沙-法兰克福,长沙,法兰克福,113.22,28.19,8.682,50.11,460
国际货运航线,长沙-阿姆斯特丹,长沙,阿姆斯特丹,113.22,28.19,4.895,52.371,982
国际货运航线,长沙-列日,长沙,列日,113.22,28.19,5.57,50.633,2040
国际货运航线,长沙-布鲁塞尔,长沙,布鲁塞尔,113.22,28.19,4.352,50.847,3057
国际货运航线,长沙-卢森堡,长沙,卢森堡,113.22,28.19,6.13,49.612,4382
国际货运航线,长沙-伦敦,长沙,伦敦,113.22,28.19,-0.128,51.507,4873
国际货运航线,长沙-米兰,长沙,米兰,113.22,28.19,9.19,45.464,4305
国际货运航线,长沙-伊斯坦布尔,长沙,伊斯坦布尔,113.22,28.19,28.978,41.008,3463
国际货运航线,长沙-莫斯科(空),长沙,莫斯科(空),113.22,28.19,37.617,55.755,4909
国际货运航线,长沙-首尔,长沙,首尔,113.22,28.19,126.978,37.566,2471
国际货运航线,长沙-东京,长沙,东京,113.22,28.19,139.692,35.689,3032
国际货运航线,长沙-大阪,长沙,大阪,113.22,28.19,135.502,34.694,3054
国际货运航线,长沙-新加坡,长沙,新加坡,113.22,28.19,103.82,1.352,4972
国际货运航线,长沙-曼谷,长沙,曼谷,113.22,28.19,100.502,13.756,1063
国际货运航线,长沙-吉隆坡,长沙,吉隆坡,113.22,28.19,101.687,3.139,2945
国际货运航线,长沙-河内(空),长沙,河内(空),113.22,28.19,105.834,21.028,1930
国际货运航线,长沙-金边,长沙,金边,113.22,28.19,104.928,11.556,2403
国际货运航线,长沙-迪拜,长沙,迪拜,113.22,28.19,55.271,25.204,624
国际货运航线,长沙-多哈,长沙,多哈,113.22,28.19,51.531,25.285,1901
国际货运航线,长沙-悉尼,长沙,悉尼,113.22,28.19,151.209,-33.868,4388
国际货运航线,长沙-墨尔本,长沙,墨尔本,113.22,28.19,144.963,-37.814,3056
国际货运航线,长沙-洛杉矶,长沙,洛杉矶,113.22,28.19,-118.244,34.052,2083
国际货运航线,长沙-芝加哥,长沙,芝加哥,113.22,28.19,-87.63,41.878,3845
国际货运航线,长沙-纽约,长沙,纽约,113.22,28.19,-74.006,40.713,1809
国际货运航线,长沙-多伦多,长沙,多伦多,113.22,28.19,-79.383,43.653,4395
国际货运航线,长沙-圣保罗,长沙,圣保罗,113.22,28.19,-46.633,-23.55,4692
