记录ID,时间,地点,类型,数值,阈值,是否超阈值,严重程度
RK0001,2024-01-01 00:00,铜官港水域,船舶违规锚泊,3.91,3.0,1,高
RK0002,2024-01-02 04:18,绕城高速,货运车辆偏离路线,4.38,5.0,0,低
RK0003,2024-01-03 08:36,霞凝港水域,船舶违规锚泊,4.55,3.0,1,严重
RK0004,2024-01-04 12:54,金霞物流园周边,货运车辆超速,74.05,90.0,0,低
RK0005,2024-01-05 17:12,湘江长沙段,船舶违规锚泊,2.46,3.0,0,低
RK0006,2024-01-06 21:31,浏阳河航道,船舶超载,7.39,10.0,0,低
RK0007,2024-01-08 01:49,望城区,投诉处罚超阈值,213.5,500.0,0,低
RK0008,2024-01-09 06:07,长张高速,货运车辆超速,104.69,90.0,1,中
RK0009,2024-01-10 10:25,望城区,投诉处罚超阈值,153.98,500.0,0,低
RK0010,2024-01-11 14:44,京港澳高速,货运车辆疲劳驾驶,2.8,4.0,0,低
RK0011,2024-01-12 19:02,长张高速,货运车辆超速,98.4,90.0,1,中
RK0012,2024-01-13 23:20,绕城高速,货运车辆偏离路线,5.67,5.0,1,中
RK0013,2024-01-15 03:38,湘江长沙段,船舶AIS关闭,1.01,2.0,0,低
RK0014,2024-01-16 07:56,岳麓区,投诉处罚超阈值,437.7,500.0,0,低
RK0015,2024-01-17 12:15,金霞物流园周边,货运车辆超速,90.07,90.0,1,中
RK0016,2024-01-18 16:33,开福区,投诉处罚超阈值,759.38,500.0,1,严重
RK0017,2024-01-19 20:51,长韶娄高速,货运车辆疲劳驾驶,5.6,4.0,1,高
RK0018,2024-01-21 01:09,绕城高速,货运车辆超速,156.43,90.0,1,严重
RK0019,2024-01-22 05:28,霞凝港水域,船舶超载,17.42,10.0,1,严重
RK0020,2024-01-23 09:46,浏阳河航道,船舶AIS关闭,0.79,2.0,0,低
RK0021,2024-01-24 14:04,金霞物流园周边,货运车辆偏离路线,4.62,5.0,0,低
RK0022,2024-01-25 18:22,湘江长沙段,船舶违规锚泊,2.68,3.0,0,低
RK0023,2024-01-26 22:40,浏阳河航道,船舶AIS关闭,2.17,2.0,1,中
RK0024,2024-01-28 02:59,长韶娄高速,货运车辆疲劳驾驶,3.95,4.0,0,低
RK0025,2024-01-29 07:17,铜官港水域,船舶违规锚泊,1.25,3.0,0,低
RK0026,2024-01-30 11:35,霞凝港水域,船舶超载,8.51,10.0,0,低
RK0027,2024-01-31 15:53,铜官港水域,船舶违规锚泊,2.7,3.0,0,低
RK0028,2024-02-01 20:12,绕城高速,货运车辆偏离路线,3.61,5.0,0,低
RK0029,2024-02-03 00:30,长张高速,货运车辆偏离路线,3.66,5.0,0,低
RK0030,2024-02-04 04:48,湘江长沙段,船舶AIS关闭,2.51,2.0,1,高
RK0031,2024-02-05 09:06,湘江长沙段,船舶超载,3.87,10.0,0,低
RK0032,2024-02-06 13:24,京港澳高速长沙段,货运车辆超速,59.37,90.0,0,低
RK0033,2024-02-07 17:43,绕城高速,货运车辆偏离路线,4.87,5.0,0,低
RK0034,2024-02-08 22:01,长张高速,货运车辆偏离路线,1.63,5.0,0,低
RK0035,2024-02-10 02:19,霞凝港水域,船舶违规锚泊,2.8,3.0,0,低
RK0036,2024-02-11 06:37,京港澳高速,货运车辆疲劳驾驶,2.3,4.0,0,低
RK0037,2024-02-12 10:56,长张高速,货运车辆偏离路线,4.81,5.0,0,低
RK0038,2024-02-13 15:14,望城区,投诉处罚超阈值,153.67,500.0,0,低
RK0039,2024-02-14 19:32,京港澳高速,货运车辆疲劳驾驶,2.78,4.0,0,低
RK0040,2024-02-15 23:50,湘江长沙段,船舶违规锚泊,1.59,3.0,0,低
RK0041,2024-02-17 04:08,霞凝港水域,船舶违规锚泊,3.57,3.0,1,中
RK0042,2024-02-18 08:27,湘江长沙段,船舶超载,8.85,10.0,0,低
RK0043,2024-02-19 12:45,京港澳高速,货运车辆疲劳驾驶,4.86,4.0,1,高
RK0044,2024-02-20 17:03,浏阳河航道,船舶AIS关闭,0.73,2.0,0,低
RK0045,2024-02-21 21:21,长沙县,投诉处罚超阈值,227.89,500.0,0,低
RK0046,2024-02-23 01:40,霞凝港水域,船舶违规锚泊,1.38,3.0,0,低
RK0047,2024-02-24 05:58,绕城高速,货运车辆超速,60.17,90.0,0,低
RK0048,2024-02-25 10:16,望城区,投诉处罚超阈值,521.1,500.0,1,中
RK0049,2024-02-26 14:34,湘江长沙段,船舶超载,11.18,10.0,1,中
RK0050,2024-02-27 18:52,霞凝港水域,船舶违规锚泊,4.31,3.0,1,高
RK0051,2024-02-28 23:11,湘江长沙段,船舶违规锚泊,1.04,3.0,0,低
RK0052,2024-03-01 03:29,霞凝港水域,船舶超载,15.73,10.0,1,严重
RK0053,2024-03-02 07:47,湘江长沙段,船舶AIS关闭,1.97,2.0,0,低
RK0054,2024-03-03 12:05,开福区,投诉处罚超阈值,749.25,500.0,1,高
RK0055,2024-03-04 16:24,岳麓区,投诉处罚超阈值,393.94,500.0,0,低
RK0056,2024-03-05 20:42,浏阳河航道,船舶AIS关闭,0.96,2.0,0,低
RK0057,2024-03-07 01:00,霞凝港水域,船舶超载,17.69,10.0,1,严重
RK0058,2024-03-08 05:18,湘江长沙段,船舶AIS关闭,0.84,2.0,0,低
RK0059,2024-03-09 09:36,湘江长沙段,船舶AIS关闭,1.48,2.0,0,低
RK0060,2024-03-10 13:55,金霞物流园周边,货运车辆偏离路线,8.14,5.0,1,严重
RK0061,2024-03-11 18:13,长张高速,货运车辆偏离路线,3.51,5.0,0,低
RK0062,2024-03-12 22:31,长张高速,货运车辆偏离路线,6.32,5.0,1,高
RK0063,2024-03-14 02:49,绕城高速,货运车辆超速,44.09,90.0,0,低
RK0064,2024-03-15 07:08,湘江长沙段,船舶AIS关闭,2.01,2.0,1,中
RK0065,2024-03-16 11:26,湘江长沙段,船舶AIS关闭,0.86,2.0,0,低
RK0066,2024-03-17 15:44,湘江长沙段,船舶AIS关闭,0.79,2.0,0,低
RK0067,2024-03-18 20:02,长张高速,货运车辆超速,98.33,90.0,1,中
RK0068,2024-03-20 00:20,湘江长沙段,船舶AIS关闭,0.61,2.0,0,低
RK0069,2024-03-21 04:39,国道319长沙段,货运车辆疲劳驾驶,5.58,4.0,1,高
RK0070,2024-03-22 08:57,湘江长沙段,船舶违规锚泊,5.14,3.0,1,严重
RK0071,2024-03-23 13:15,湘江长沙段,船舶违规锚泊,1.83,3.0,0,低
RK0072,2024-03-24 17:33,长沙县,投诉处罚超阈值,217.56,500.0,0,低
RK0073,2024-03-25 21:52,湘江长沙段,船舶AIS关闭,2.98,2.0,1,高
RK0074,2024-03-27 02:10,绕城高速,货运车辆超速,65.7,90.0,0,低
RK0075,2024-03-28 06:28,国道319长沙段,货运车辆疲劳驾驶,4.3,4.0,1,中
RK0076,2024-03-29 10:46,霞凝港水域,船舶违规锚泊,3.56,3.0,1,中
RK0077,2024-03-30 15:04,湘江长沙段,船舶违规锚泊,4.65,3.0,1,严重
RK0078,2024-03-31 19:23,岳麓区,投诉处罚超阈值,397.56,500.0,0,低
RK0079,2024-04-01 23:41,霞凝港水域,船舶超载,10.23,10.0,1,中
RK0080,2024-04-03 03:59,金霞物流园周边,货运车辆超速,64.49,90.0,0,低
RK0081,2024-04-04 08:17,浏阳河航道,船舶AIS关闭,2.5,2.0,1,高
RK0082,2024-04-05 12:36,金霞物流园周边,货运车辆偏离路线,4.98,5.0,0,低
RK0083,2024-04-06 16:54,霞凝港水域,船舶违规锚泊,4.72,3.0,1,严重
RK0084,2024-04-07 21:12,浏阳河航道,船舶AIS关闭,0.88,2.0,0,低
RK0085,2024-04-09 01:30,浏阳河航道,船舶超载,4.52,10.0,0,低
RK0086,2024-04-10 05:48,京港澳高速长沙段,货运车辆超速,74.78,90.0,0,低
RK0087,2024-04-11 10:07,浏阳河航道,船舶超载,4.37,10.0,0,低
RK0088,2024-04-12 14:25,京港澳高速,货运车辆疲劳驾驶,3.2,4.0,0,低
RK0089,2024-04-13 18:43,国道319长沙段,货运车辆疲劳驾驶,6.6,4.0,1,严重
RK0090,2024-04-14 23:01,岳麓区,投诉处罚超阈值,352.59,500.0,0,低
RK0091,2024-04-16 03:20,浏阳河航道,船舶AIS关闭,2.07,2.0,1,中
