月份,货运量_万吨,货物周转量_亿吨公里
2020-01,2776.0,49.97
2020-02,2141.0,38.54
2020-03,3076.0,55.37
2020-04,2935.1,52.83
2020-05,3028.6,54.51
2020-06,2954.7,53.19
2020-07,2962.2,53.32
2020-08,2998.2,53.97
2020-09,2994.5,53.9
2020-10,3259.3,58.67
2020-11,3427.4,61.69
2020-12,3258.5,58.65
2021-01,2882.5,51.88
2021-02,2225.0,40.05
2021-03,3054.4,54.98
2021-04,3052.0,54.94
2021-05,3039.3,54.71
2021-06,3066.3,55.19
2021-07,3059.1,55.06
2021-08,3061.6,55.11
2021-09,3139.1,56.5
2021-10,3340.9,60.14
2021-11,3478.6,62.61
2021-12,3328.2,59.91
2022-01,2945.5,53.02
2022-02,2207.5,39.74
2022-03,3171.1,57.08
2022-04,3081.1,55.46
2022-05,3104.5,55.88
2022-06,3161.0,56.9
2022-07,3101.8,55.83
2022-08,3152.0,56.74
2022-09,3293.6,59.28
2022-10,3421.5,61.59
2022-11,3586.5,64.56
2022-12,3364.2,60.56
2023-01,2992.4,53.86
2023-02,2351.8,42.33
2023-03,3329.5,59.93
2023-04,3138.7,56.5
2023-05,3221.9,57.99
2023-06,3283.4,59.1
2023-07,3115.3,56.08
2023-08,3339.4,60.11
2023-09,3388.5,60.99
2023-10,3431.8,61.77
2023-11,3737.9,67.28
2023-12,3385.5,60.94
2024-01,3138.2,56.49
2024-02,2379.2,42.83
2024-03,3392.5,61.07
2024-04,3303.6,59.46
2024-05,3379.1,60.82
2024-06,3316.5,59.7
2024-07,3327.3,59.89
2024-08,3318.3,59.73
2024-09,3412.7,61.43
2024-10,3636.1,65.45
2024-11,3786.0,68.15
2024-12,3467.5,62.41
2025-01,3187.2,57.37
2025-02,2450.3,44.11
2025-03,3438.3,61.89
2025-04,3323.8,59.83
2025-05,3374.5,60.74
2025-06,3441.8,61.95
2025-07,3347.0,60.25
2025-08,3422.7,61.61
2025-09,3508.9,63.16
2025-10,3732.5,67.18
2025-11,3800.3,68.41
2025-12,3684.6,66.32
