城市,年份,物流成本占GDP比率,公路货运占比,枢纽能级指数,信息化水平指数,政策支持指数
长沙,2020,19.2,0.719,76.8,73.7,83.2
长沙,2021,19.231,0.703,81.8,79.0,80.4
长沙,2022,18.906,0.7,84.5,81.6,84.4
长沙,2023,18.691,0.673,82.5,83.9,87.0
长沙,2024,18.219,0.67,89.4,85.6,87.1
长沙,2025,18.229,0.677,89.0,92.2,88.8
武汉,2020,19.386,0.702,83.4,75.4,77.4
武汉,2021,18.832,0.695,84.7,80.0,80.0
武汉,2022,18.481,0.677,83.7,85.0,81.7
武汉,2023,18.602,0.68,85.9,84.8,84.1
武汉,2024,18.667,0.663,88.3,88.8,84.9
武汉,2025,17.853,0.663,90.5,94.1,86.3
南昌,2020,21.412,0.79,60.5,59.0,61.1
南昌,2021,21.235,0.794,63.1,60.7,62.9
南昌,2022,20.921,0.79,65.3,65.3,65.0
南昌,2023,20.576,0.758,68.5,66.8,67.3
南昌,2024,20.236,0.752,71.3,70.1,68.9
南昌,2025,20.131,0.75,72.0,71.0,68.9
合肥,2020,20.242,0.739,73.1,71.7,70.0
合肥,2021,20.206,0.748,73.4,69.8,71.6
合肥,2022,19.953,0.73,74.6,75.7,78.8
合肥,2023,19.728,0.721,79.8,80.5,80.6
合肥,2024,19.513,0.728,80.2,84.8,79.0
合肥,2025,18.681,0.681,82.7,84.2,85.8
郑州,2020,19.547,0.704,80.6,74.6,76.5
郑州,2021,19.072,0.69,82.4,77.1,78.1
郑州,2022,18.976,0.687,83.9,80.6,80.8
郑州,2023,18.638,0.675,84.2,82.2,82.1
郑州,2024,18.138,0.679,85.4,84.8,84.2
郑州,2025,17.923,0.654,87.1,89.4,86.2
贵阳,2020,22.783,0.84,54.2,51.0,50.5
贵阳,2021,22.028,0.829,59.8,55.6,54.4
贵阳,2022,22.05,0.839,59.7,55.8,55.9
贵阳,2023,22.016,0.825,60.9,60.9,58.5
贵阳,2024,21.957,0.798,63.3,65.1,60.3
贵阳,2025,20.582,0.794,64.9,63.5,62.7
