数据表,字段,count,unique,top,freq,mean,std,min,25%,50%,75%,max
china_railway_monthly.csv,月份,72,72,2020-01-01,1,,,,,,,
china_railway_monthly.csv,开行列数,72.0,,,,63.55555555555556,23.092519908908795,22.0,45.75,63.0,85.25,99.0
china_railway_monthly.csv,出口列数,72.0,,,,52.25,19.073431118912175,18.0,37.75,52.5,69.0,83.0
china_railway_monthly.csv,进口列数,72.0,,,,11.305555555555555,4.404347688392731,4.0,8.0,12.0,15.0,20.0
china_railway_monthly.csv,运量_箱,72.0,,,,3199.625,1161.0219082682606,1090.0,2259.75,3212.0,4250.5,5122.0
china_railway_monthly.csv,货值_美元,72.0,,,,161570606.9722222,58389078.27804317,56130029.0,113265432.75,162627283.0,215338573.0,258928217.0
dea_panel.csv,城市,30,6,长沙,5,,,,,,,
dea_panel.csv,年份,30.0,,,,2022.0,1.4383899044561526,2020.0,2021.0,2022.0,2023.0,2024.0
dea_panel.csv,物流从业人数_万人,30.0,,,,17.16433333333333,6.241368485733929,8.02,11.0525,17.33,21.295,28.28
dea_panel.csv,物流财政支出_亿元,30.0,,,,40.80133333333334,16.655407682115477,14.91,23.655,43.045,54.865,66.97
dea_panel.csv,等级公路里程_万公里,30.0,,,,1.7697666666666663,0.3070492135476492,1.199,1.4917500000000001,1.8435000000000001,1.96175,2.284
dea_panel.csv,GDP_亿元,30.0,,,,11795.2,4753.4311774360085,4289.0,6910.5,12529.5,15102.75,21116.0
dea_panel.csv,进出口总额_亿元,30.0,,,,2920.733333333333,1767.8802021617307,620.0,1524.0,2591.0,4341.5,6685.0
express_monthly.csv,月份,72,72,2020-01-01,1,,,,,,,
express_monthly.csv,快递业务量_亿件,72.0,,,,1.3914666666666666,0.63379210947137,0.4275,0.88135,1.2233,1.837775,3.215
express_monthly.csv,同城_亿件,72.0,,,,0.15895538194444445,0.049896748577458065,0.0632,0.12235,0.15150000000000002,0.192125,0.2967875
express_monthly.csv,异地_亿件,72.0,,,,1.1961625,0.5627048768520658,0.3562,0.740275,1.0343,1.6012250000000001,2.8024
express_monthly.csv,国际港澳台_亿件,72.0,,,,0.03607152777777778,0.021780636228871476,0.0082,0.017400000000000002,0.029650000000000003,0.0491,0.0966499999999999
express_monthly.csv,业务收入_亿元,72.0,,,,12.587916666666665,5.133822653268348,4.3,8.3675,11.695,16.315,27.62
multimodal_nodes.csv,节点名称,7,7,长沙新港(霞凝港),1,,,,,,,
multimodal_nodes.csv,类型,7,4,水运,2,,,,,,,
multimodal_nodes.csv,经度,7.0,,,,113.00457142857142,0.05525352822173773,112.91800000000003,112.98400000000001,112.996,113.02799999999999,113.09399999999997
multimodal_nodes.csv,纬度,7.0,,,,28.317857142857147,0.08781311324137896,28.19,28.2735,28.33,28.3485,28.46100000000001
multimodal_nodes.csv,年吞吐量_万吨,7.0,,,,1560.857142857143,951.0333728058528,91.0,1082.0,1382.0,2246.5,2796.0
multimodal_nodes.csv,线路数,7.0,,,,3.857142857142857,6.644009116704848,0.0,0.0,0.0,6.0,15.0
multimodal_nodes.csv,备注,7,7,铁水联运核心港区,1,,,,,,,
multimodal_routes.csv,线路类型,38,2,国际货运航线,26,,,,,,,
multimodal_routes.csv,线路名称,38,38,长沙-莫斯科,1,,,,,,,
multimodal_routes.csv,起点,38,1,长沙,38,,,,,,,
multimodal_routes.csv,终点,38,38,莫斯科,1,,,,,,,
multimodal_routes.csv,起点经度,38.0,,,,113.14610526315789,0.11023017428499916,112.986,112.986,113.22,113.22,113.22
multimodal_routes.csv,起点纬度,38.0,,,,28.241157894736848,0.0763131975819238,28.19,28.19,28.19,28.352,28.352
multimodal_routes.csv,终点经度,38.0,,,,43.641947368421064,68.28382095420015,-118.244,6.29075,37.617,103.52324999999999,151.209
multimodal_routes.csv,终点纬度,38.0,,,,33.59552302631579,21.803178567570626,-20.57337500000001,22.072,41.1535,50.502250000000004,55.755
multimodal_routes.csv,货运量_箱,38.0,,,,2695.0789473684213,1269.568630327788,460.0,1832.0,2542.5,3361.5,4972.0
regional_logistics.csv,区县,9,9,长沙县,1,,,,,,,
regional_logistics.csv,快递处理量_万件,9.0,,,,45985.055555555555,14208.321088460023,28755.0,34667.0,44011.0,49310.0,71274.5
regional_logistics.csv,物流园区吞吐量_万吨,9.0,,,,3509.1111111111113,1251.6574455940856,2129.0,2508.0,3297.0,4015.0,6242.0
regional_logistics.csv,GDP_亿元,9.0,,,,1276.6666666666667,410.6093033529562,820.0,950.0,1280.0,1390.0,2050.0
risk_warnings.csv,记录ID,620,620,RK0001,1,,,,,,,
risk_warnings.csv,时间,620,620,2024-01-01 00:00:00,1,,,,,,,
risk_warnings.csv,地点,620,15,湘江长沙段,118,,,,,,,
risk_warnings.csv,类型,620,7,船舶AIS关闭,95,,,,,,,
risk_warnings.csv,数值,620.0,,,,33.081556451612904,48.85589001246809,0.61,2.6725000000000003,4.83,53.2025,128.9975
risk_warnings.csv,阈值,620.0,,,,46.633870967741935,75.13493396304507,2.0,3.0,5.0,90.0,220.5
risk_warnings.csv,是否超阈值,620.0,,,,0.3758064516129032,0.48472148919846864,0.0,0.0,0.0,1.0,1.0
risk_warnings.csv,严重程度,620,4,低,387,,,,,,,
road_freight_monthly.csv,月份,72,72,2020-01-01,1,,,,,,,
road_freight_monthly.csv,货运量_万吨,72.0,,,,3207.784722222222,296.87401269088764,2550.2500000000005,3053.8,3258.9,3389.5,3800.3
road_freight_monthly.csv,货物周转量_亿吨公里,72.0,,,,57.74055555555555,5.342592842296733,45.90999999999999,54.97,58.66,61.010000000000005,68.41
