区县,年份,效率值
长沙县,2020,0.9
长沙县,2021,0.9127
长沙县,2022,0.9193
长沙县,2023,0.9191
长沙县,2024,0.9179
浏阳市,2020,0.8406
浏阳市,2021,0.8471
浏阳市,2022,0.847
浏阳市,2023,0.8458
浏阳市,2024,0.8502
宁乡市,2020,0.7965
宁乡市,2021,0.7964
宁乡市,2022,0.7952
宁乡市,2023,0.7996
宁乡市,2024,0.811
望城区,2020,0.754
望城区,2021,0.7528
望城区,2022,0.7572
望城区,2023,0.7686
望城区,2024,0.7821
岳麓区,2020,0.823
岳麓区,2021,0.8274
岳麓区,2022,0.8388
岳麓区,2023,0.8523
岳麓区,2024,0.8609
雨花区,2020,0.786
雨花区,2021,0.7975
雨花区,2022,0.811
雨花区,2023,0.8196
雨花区,2024,0.821
开福区,2020,0.7462
开福区,2021,0.7597
开福区,2022,0.7684
开福区,2023,0.7698
开福区,2024,0.7681
芙蓉区,2020,0.7416
芙蓉区,2021,0.7503
芙蓉区,2022,0.7516
芙蓉区,2023,0.75
芙蓉区,2024,0.7523
天心区,2020,0.7279
天心区,2021,0.7293
天心区,2022,0.7276
天心区,2023,0.73
天心区,2024,0.7397
