月份,铁水联运量_万吨,联运前成本_元每吨,联运后成本_元每吨,单位降本_元每吨,月节省_万元
2020-01-01,3.48,185.0,135.0,50.0,174.0
2020-02-01,3.389,185.0,135.0,50.0,169.4
2020-03-01,3.378,185.0,135.0,50.0,168.9
2020-04-01,3.794,185.0,135.0,50.0,189.7
2020-05-01,3.293,185.0,135.0,50.0,164.6
2020-06-01,3.397,185.0,135.0,50.0,169.8
2020-07-01,3.665,185.0,135.0,50.0,183.2
2020-08-01,3.59,185.0,135.0,50.0,179.5
2020-09-01,3.353,185.0,135.0,50.0,167.6
2020-10-01,3.523,185.0,135.0,50.0,176.2
2020-11-01,3.498,185.0,135.0,50.0,174.9
2020-12-01,3.729,185.0,135.0,50.0,186.5
2021-01-01,3.899,185.0,135.0,50.0,195.0
2021-02-01,3.876,185.0,135.0,50.0,193.8
2021-03-01,3.82,185.0,135.0,50.0,191.0
2021-04-01,3.575,185.0,135.0,50.0,178.8
2021-05-01,3.681,185.0,135.0,50.0,184.0
2021-06-01,3.828,185.0,135.0,50.0,191.4
2021-07-01,3.933,185.0,135.0,50.0,196.6
2021-08-01,3.857,185.0,135.0,50.0,192.9
2021-09-01,3.676,185.0,135.0,50.0,183.8
2021-10-01,4.179,185.0,135.0,50.0,209.0
2021-11-01,3.689,185.0,135.0,50.0,184.4
2021-12-01,3.745,185.0,135.0,50.0,187.2
2022-01-01,4.068,185.0,135.0,50.0,203.4
2022-02-01,4.291,185.0,135.0,50.0,214.6
2022-03-01,4.278,185.0,135.0,50.0,213.9
2022-04-01,4.416,185.0,135.0,50.0,220.8
2022-05-01,4.028,185.0,135.0,50.0,201.4
2022-06-01,4.181,185.0,135.0,50.0,209.0
2022-07-01,4.204,185.0,135.0,50.0,210.2
2022-08-01,4.326,185.0,135.0,50.0,216.3
2022-09-01,3.874,185.0,135.0,50.0,193.7
2022-10-01,4.098,185.0,135.0,50.0,204.9
2022-11-01,4.22,185.0,135.0,50.0,211.0
2022-12-01,4.254,185.0,135.0,50.0,212.7
2023-01-01,4.664,185.0,135.0,50.0,233.2
2023-02-01,4.461,185.0,135.0,50.0,223.0
2023-03-01,4.581,185.0,135.0,50.0,229.0
2023-04-01,4.444,185.0,135.0,50.0,222.2
2023-05-01,4.534,185.0,135.0,50.0,226.7
2023-06-01,4.307,185.0,135.0,50.0,215.4
2023-07-01,4.709,185.0,135.0,50.0,235.4
2023-08-01,4.547,185.0,135.0,50.0,227.4
2023-09-01,4.407,185.0,135.0,50.0,220.4
2023-10-01,4.764,185.0,135.0,50.0,238.2
2023-11-01,4.327,185.0,135.0,50.0,216.4
2023-12-01,4.314,185.0,135.0,50.0,215.7
2024-01-01,4.927,185.0,135.0,50.0,246.3
2024-02-01,4.89,185.0,135.0,50.0,244.5
2024-03-01,4.973,185.0,135.0,50.0,248.6
2024-04-01,4.693,185.0,135.0,50.0,234.6
2024-05-01,4.765,185.0,135.0,50.0,238.2
2024-06-01,4.766,185.0,135.0,50.0,238.3
2024-07-01,5.212,185.0,135.0,50.0,260.6
2024-08-01,5.169,185.0,135.0,50.0,258.4
2024-09-01,4.726,185.0,135.0,50.0,236.3
2024-10-01,5.062,185.0,135.0,50.0,253.1
2024-11-01,4.688,185.0,135.0,50.0,234.4
2024-12-01,4.771,185.0,135.0,50.0,238.6
2025-01-01,4.956,185.0,135.0,50.0,247.8
2025-02-01,4.958,185.0,135.0,50.0,247.9
2025-03-01,5.302,185.0,135.0,50.0,265.1
2025-04-01,5.318,185.0,135.0,50.0,265.9
2025-05-01,5.084,185.0,135.0,50.0,254.2
2025-06-01,5.251,185.0,135.0,50.0,262.6
2025-07-01,5.043,185.0,135.0,50.0,252.2
2025-08-01,5.131,185.0,135.0,50.0,256.6
2025-09-01,5.296,185.0,135.0,50.0,264.8
2025-10-01,5.048,185.0,135.0,50.0,252.4
2025-11-01,5.368,185.0,135.0,50.0,268.4
2025-12-01,5.072,185.0,135.0,50.0,253.6
