城市,时期,技术效率变化_TEC,技术变化_TC,Malmquist_TFP
南昌,2020-2021,0.9669,1.0453,1.0107
南昌,2021-2022,1.0024,1.0095,1.0118
南昌,2022-2023,0.9957,1.0295,1.0251
南昌,2023-2024,1.0206,1.0105,1.0314
合肥,2020-2021,1.0,1.0416,1.0416
合肥,2021-2022,1.0,1.0327,1.0327
合肥,2022-2023,1.0,1.0364,1.0364
合肥,2023-2024,1.0,1.0573,1.0573
武汉,2020-2021,1.0,1.0522,1.0522
武汉,2021-2022,1.0,1.0317,1.0317
武汉,2022-2023,1.0,1.0661,1.0661
武汉,2023-2024,1.0,1.0253,1.0253
贵阳,2020-2021,0.948,1.0654,1.0101
贵阳,2021-2022,1.0076,1.0082,1.0158
贵阳,2022-2023,1.0175,1.0055,1.0231
贵阳,2023-2024,1.0169,1.0,1.0169
郑州,2020-2021,1.0,1.0558,1.0558
郑州,2021-2022,1.0,1.0399,1.0399
郑州,2022-2023,1.0,1.0618,1.0618
郑州,2023-2024,1.0,1.0213,1.0213
长沙,2020-2021,1.0,1.0579,1.0579
长沙,2021-2022,1.0,1.0298,1.0298
长沙,2022-2023,1.0,1.0157,1.0157
长沙,2023-2024,1.0,1.0094,1.0094
