节点,类型,度中心性,介数中心性,特征向量中心性
株洲,周边城市,0.7895,0.269,0.2829
长沙县,区县,0.6316,0.0994,0.408
湘潭,周边城市,0.5789,0.1696,0.2538
武汉,周边城市,0.5789,0.1345,0.0471
岳麓区,区县,0.4737,0.0,0.3766
芙蓉区,区县,0.4211,0.0058,0.3952
雨花区,区县,0.4211,0.0,0.3965
开福区,区县,0.4211,0.0058,0.371
望城区,区县,0.3684,0.0877,0.0924
天心区,区县,0.3684,0.0,0.2841
岳阳,周边城市,0.3158,0.2105,0.0271
宁乡市,区县,0.3158,0.0819,0.0416
益阳,周边城市,0.2632,0.0526,0.0119
浏阳市,区县,0.2105,0.0,0.0356
衡阳,周边城市,0.2105,0.0175,0.0254
常德,周边城市,0.1579,0.0,0.0047
合肥,周边城市,0.1579,0.0117,0.0096
南昌,周边城市,0.1579,0.1053,0.008
娄底,周边城市,0.1053,0.0,0.0076
郑州,周边城市,0.1053,0.0,0.0059
